"age","height","percentile"
"8","118","5"
"8","119","5"
"8","120","10"
"8","121","10"
"8","122","25"
"8","123","25"
"8","124","25"
"8","125","25"
"8","126","50"
"8","127","50"
"8","128","50"
"8","129","50"
"8","130","75"
"8","131","75"
"8","132","75"
"8","133","90"
"8","134","90"
"8","135","90"
"8","136","95"
"8","137","95"
"8","138","95"
"9","123","5"
"9","124","5"
"9","125","10"
"9","126","10"
"9","127","10"
"9","128","25"
"9","129","25"
"9","130","25"
"9","131","25"
"9","132","50"
"9","133","50"
"9","134","50"
"9","135","75"
"9","136","75"
"9","137","75"
"9","138","90"
"9","139","90"
"9","140","90"
"9","141","90"
"9","142","95"
"9","143","95"
"9","144","95"
"9","145","95"
"10","127","5"
"10","128","5"
"10","129","10"
"10","130","10"
"10","131","10"
"10","132","10"
"10","133","25"
"10","134","25"
"10","135","25"
"10","136","25"
"10","137","50"
"10","138","50"
"10","139","50"
"10","140","50"
"10","141","50"
"10","142","75"
"10","143","75"
"10","144","75"
"10","145","75"
"10","146","90"
"10","147","90"
"10","148","95"
"10","149","95"
"10","150","95"
"11","132","5"
"11","133","10"
"11","134","10"
"11","135","10"
"11","136","10"
"11","137","25"
"11","138","25"
"11","139","25"
"11","140","25"
"11","141","25"
"11","142","50"
"11","143","50"
"11","144","50"
"11","145","50"
"11","146","50"
"11","147","75"
"11","148","75"
"11","149","75"
"11","150","75"
"11","151","90"
"11","152","90"
"11","153","90"
"11","154","95"
"11","155","95"
"11","156","95"
"12","137","5"
"12","138","5"
"12","139","10"
"12","140","10"
"12","141","10"
"12","142","10"
"12","143","25"
"12","144","25"
"12","145","25"
"12","146","25"
"12","147","25"
"12","148","50"
"12","149","50"
"12","150","50"
"12","151","50"
"12","152","50"
"12","153","75"
"12","154","75"
"12","155","75"
"12","156","75"
"12","157","90"
"12","158","90"
"12","159","90"
"12","160","95"
"12","161","95"
"12","162","95"
