"age","p01","p3","p85","p97","p999"
"8a","11.8","13","17.8","20.2","25.3"
"8a1m","11.8","13","17.9","20.2","25.4"
"8a2m","11.8","13.1","17.9","20.3","25.6"
"8a3m","11.8","13.1","18","20.4","25.7"
"8a4m","11.9","13.1","18","20.4","25.9"
"8a5m","11.9","13.1","18.1","20.5","26"
"8a6m","11.9","13.1","18.1","20.6","26.2"
"8a7m","11.9","13.2","18.2","20.7","26.3"
"8a8m","11.9","13.2","18.2","20.7","26.5"
"8a9m","12","13.2","18.3","20.8","26.7"
"8a10m","12","13.2","18.3","20.9","26.8"
"8a11m","12","13.3","18.4","21","27"
"9a","12","13.3","18.4","21.1","27.1"
"9a1m","12","13.3","18.5","21.1","27.3"
"9a2m","12.1","13.3","18.5","21.2","27.5"
"9a3m","12.1","13.4","18.6","21.3","27.6"
"9a4m","12.1","13.4","18.6","21.4","27.8"
"9a5m","12.1","13.4","18.7","21.5","28"
"9a6m","12.1","13.4","18.8","21.6","28.1"
"9a7m","12.2","13.5","18.8","21.6","28.3"
"9a8m","12.2","13.5","18.9","21.7","28.4"
"9a9m","12.2","13.5","18.9","21.8","28.6"
"9a10m","12.2","13.6","19","21.9","28.8"
"9a11m","12.3","13.6","19.1","22","28.9"
"10a","12.3","13.6","19.1","22.1","29.1"
"10a1m","12.3","13.6","19.2","22.2","29.3"
"10a2m","12.3","13.7","19.3","22.2","29.4"
"10a3m","12.4","13.7","19.3","22.3","29.6"
"10a4m","12.4","13.7","19.4","22.4","29.7"
"10a5m","12.4","13.8","19.5","22.5","29.9"
"10a6m","12.5","13.8","19.5","22.6","30.1"
"10a7m","12.5","13.9","19.6","22.7","30.2"
"10a8m","12.5","13.9","19.7","22.8","30.4"
"10a9m","12.5","13.9","19.8","22.9","30.5"
"10a10m","12.6","14","19.8","23","30.7"
"10a11m","12.6","14","19.9","23.1","30.8"
"11a","12.6","14","20","23.2","31"
"11a1m","12.7","14.1","20","23.3","31.2"
"11a2m","12.7","14.1","20.1","23.4","31.3"
"11a3m","12.7","14.2","20.2","23.5","31.5"
"11a4m","12.8","14.2","20.3","23.6","31.6"
"11a5m","12.8","14.2","20.4","23.7","31.8"
"11a6m","12.8","14.3","20.4","23.8","31.9"
"11a7m","12.9","14.3","20.5","23.9","32.1"
"11a8m","12.9","14.4","20.6","24","32.2"
"11a9m","12.9","14.4","20.7","24.1","32.4"
"11a10m","13","14.5","20.8","24.2","32.5"
"11a11m","13","14.5","20.8","24.3","32.6"
"12a","13.1","14.6","20.9","24.4","32.8"
"12a1m","13.1","14.6","21","24.5","32.9"
"12a2m","13.1","14.6","21.1","24.6","33.1"
"12a3m","13.2","14.7","21.2","24.7","33.2"
"12a4m","13.2","14.7","21.3","24.8","33.3"
"12a5m","13.2","14.8","21.3","24.9","33.5"
"12a6m","13.3","14.8","21.4","25","33.6"
"12a7m","13.3","14.9","21.5","25.1","33.7"
"12a8m","13.4","14.9","21.6","25.2","33.9"
"12a9m","13.4","15","21.7","25.3","34"
"12a10m","13.4","15","21.8","25.4","34.1"
"12a11m","13.5","15.1","21.8","25.5","34.2"
